Stasiun,x,y,z,Feb,Mar,Apr,May,Jun,Jul,Aug,Depth
1,1,1,-32,20,26,83.2,29.2,36.8,50.4,87.2,32
2,1,2,-23,29.2,260.8,422.8,8.4,41.2,1658,97.6,23
3,1,3,-14,62,31.6,25.6,6.4,58.4,48.4,79.6,14
4,1,4,-22,128,51.2,90.4,35.2,51.2,81.2,68.4,22
5,1,5,-13,84,33.2,87.2,26,1520.4,44.4,80,13
6,1,6,-28,136.4,86.4,47.6,23.6,44,74.8,44.4,28
7,2,1,-45,76.8,28.4,70.8,29.6,1402,76.8,90.4,45
8,2,2,-17,58.8,0,15.2,24.8,39.6,56,76.4,17
9,2,3,-51,71.6,0,209.6,32.4,42.4,214,187.2,51
10,2,4,-50,28,0,3.6,40,28,70.4,68,50
11,2,5,-50,62.8,0,12.8,30.4,35.2,64,72,50
12,2,6,-50,21.2,0,8.4,31.6,34.4,58.8,78.8,50
13,3,1,-50,22,0,14.4,34,31.6,62.8,66.8,50
14,3,2,-50,51.2,0,11.2,26.8,40.8,70.8,57.6,50
15,3,3,-50,50.8,0,9.6,24.4,32,52.8,68.8,50
16,3,4,-52,155.6,0,68,24.8,34.4,60.4,64.8,52
17,3,5,-50,48,0,62.4,24.8,35.2,108.8,64.8,50
18,3,6,-50,23.2,0,63.6,6.8,32,59.2,70.8,50
1,1,1,0,32.4,24.4,84,9.6,10.8,73.6,69.6,0
2,1,2,0,44.4,31.2,53.2,10.4,146.4,33.2,2056.4,0
3,1,3,0,55.2,46,12.4,9.6,34,25.2,82.4,0
4,1,4,0,48,29.2,16.4,15.6,18.4,34.4,78.4,0
5,1,5,0,54,10,5.6,16.8,19.2,37.2,62.8,0
6,1,6,0,57.6,17.2,9.2,23.2,26.8,29.6,57.2,0
7,2,1,0,74.4,26,6,22.4,20.8,36.4,27.6,0
8,2,2,0,59.6,0,22.4,26,23.6,40,68.4,0
9,2,3,0,38.4,0,8.8,32.8,30.8,62.8,74.4,0
10,2,4,0,59.6,0,15.6,22.4,30,64,63.2,0
11,2,5,0,19.6,0,7.6,27.6,29.2,56.4,62,0
12,2,6,0,72.4,0,20.4,26.4,35.2,92,64,0
13,3,1,0,54,0,62,26.4,28,70,68.4,0
14,3,2,0,41.6,0,6.8,30,32,146.8,74.8,0
15,3,3,0,67.6,0,53.6,26.8,32,53.6,61.2,0
16,3,4,0,62,0,58,29.2,32,62.8,72,0
17,3,5,0,61.6,0,68,13.6,31.2,270,80.8,0
18,3,6,0,28.8,0,68,26.8,30.4,48,63.2,0
