st,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
x,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
y,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
z,-32,-23,-14,-22,-13,-28,-45,-17,-51,-50,-50,-50,-50,-50,-50,-52,-50,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feb,20.00,29.20,62.00,128.00,84.00,136.40,76.80,58.80,71.60,28.00,62.80,21.20,22.00,51.20,50.80,155.60,48.00,23.20,32.40,44.40,55.20,48.00,54.00,57.60,74.40,59.60,38.40,59.60,19.60,72.40,54.00,41.60,67.60,62.00,61.60,28.80
mar,26.00,260.80,31.60,51.20,33.20,86.40,28.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.40,31.20,46.00,29.20,10.00,17.20,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
apr,83.2,422.8,25.6,90.4,87.2,47.6,70.8,15.2,209.6,3.6,12.8,8.4,14.4,11.2,9.6,68,62.4,63.6,84,53.2,12.4,16.4,5.6,9.2,6,22.4,8.8,15.6,7.6,20.4,62,6.8,53.6,58,68,68
may,29.2,8.4,6.4,35.2,26,23.6,29.6,24.8,32.4,40,30.4,31.6,34,26.8,24.4,24.8,24.8,6.8,9.6,10.4,9.6,15.6,16.8,23.2,22.4,26,32.8,22.4,27.6,26.4,26.4,30,26.8,29.2,13.6,26.8
jun,36.8,41.2,58.4,51.2,1520.4,44,1402,39.6,42.4,28,35.2,34.4,31.6,40.8,32,34.4,35.2,32,10.8,146.4,34,18.4,19.2,26.8,20.8,23.6,30.8,30,29.2,35.2,28,32,32,32,31.2,30.4
jul,50.4,1658,48.4,81.2,44.4,74.8,76.8,56,214,70.4,64,58.8,62.8,70.8,52.8,60.4,108.8,59.2,73.6,33.2,25.2,34.4,37.2,29.6,36.4,40,62.8,64,56.4,92,70,146.8,53.6,62.8,270,48
aug,87.2,97.6,79.6,68.4,80,44.4,90.4,76.4,187.2,68,72,78.8,66.8,57.6,68.8,64.8,64.8,70.8,69.6,2056.4,82.4,78.4,62.8,57.2,27.6,68.4,74.4,63.2,62,64,68.4,74.8,61.2,72,80.8,63.2
depth,32,23,14,22,13,28,45,17,51,50,50,50,50,50,50,52,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
