st,x,y,z,tss,month,location
1,1,1,-32,20,feb,Ambon Bay
1,1,1,0,32.4,feb,Ambon Bay
2,1,2,-23,29.2,feb,Ambon Bay
2,1,2,0,44.4,feb,Ambon Bay
3,1,3,0,55.2,feb,Ambon Bay
3,1,3,-14,62,feb,Ambon Bay
4,1,4,0,48,feb,Ambon Bay
4,1,4,-22,128,feb,Ambon Bay
5,1,5,0,54,feb,Ambon Bay
5,1,5,-13,84,feb,Ambon Bay
6,1,6,0,57.6,feb,Ambon Bay
6,1,6,-28,136.4,feb,Ambon Bay
7,2,1,0,74.4,feb,Ambon Bay
7,2,1,-45,76.8,feb,Ambon Bay
8,2,2,-17,58.8,feb,Ambon Bay
8,2,2,0,59.6,feb,Ambon Bay
9,2,3,0,38.4,feb,Ambon Bay
9,2,3,-51,71.6,feb,Ambon Bay
10,2,4,-50,28,feb,Ambon Bay
10,2,4,0,59.6,feb,Ambon Bay
11,2,5,0,19.6,feb,Ambon Bay
11,2,5,-50,62.8,feb,Ambon Bay
12,2,6,-50,21.2,feb,Ambon Bay
12,2,6,0,72.4,feb,Ambon Bay
13,3,1,-50,22,feb,Ambon Bay
13,3,1,0,54,feb,Ambon Bay
14,3,2,0,41.6,feb,Ambon Bay
14,3,2,-50,51.2,feb,Ambon Bay
15,3,3,-50,50.8,feb,Ambon Bay
15,3,3,0,67.6,feb,Ambon Bay
16,3,4,0,62,feb,Ambon Bay
16,3,4,-52,155.6,feb,Ambon Bay
17,3,5,-50,48,feb,Ambon Bay
17,3,5,0,61.6,feb,Ambon Bay
18,3,6,-50,23.2,feb,Ambon Bay
18,3,6,0,28.8,feb,Ambon Bay
1,1,1,0,24.4,mar,Ambon Bay
1,1,1,-32,26,mar,Ambon Bay
2,1,2,0,31.2,mar,Ambon Bay
2,1,2,-23,260.8,mar,Ambon Bay
3,1,3,-14,31.6,mar,Ambon Bay
3,1,3,0,46,mar,Ambon Bay
4,1,4,0,29.2,mar,Ambon Bay
4,1,4,-22,51.2,mar,Ambon Bay
5,1,5,0,10,mar,Ambon Bay
5,1,5,-13,33.2,mar,Ambon Bay
6,1,6,0,17.2,mar,Ambon Bay
6,1,6,-28,86.4,mar,Ambon Bay
7,2,1,0,26,mar,Ambon Bay
7,2,1,-45,28.4,mar,Ambon Bay
8,2,2,-17,0,mar,Ambon Bay
8,2,2,0,0,mar,Ambon Bay
9,2,3,-51,0,mar,Ambon Bay
9,2,3,0,0,mar,Ambon Bay
10,2,4,-50,0,mar,Ambon Bay
10,2,4,0,0,mar,Ambon Bay
11,2,5,-50,0,mar,Ambon Bay
11,2,5,0,0,mar,Ambon Bay
12,2,6,-50,0,mar,Ambon Bay
12,2,6,0,0,mar,Ambon Bay
13,3,1,-50,0,mar,Ambon Bay
13,3,1,0,0,mar,Ambon Bay
14,3,2,-50,0,mar,Ambon Bay
14,3,2,0,0,mar,Ambon Bay
15,3,3,-50,0,mar,Ambon Bay
15,3,3,0,0,mar,Ambon Bay
16,3,4,-52,0,mar,Ambon Bay
16,3,4,0,0,mar,Ambon Bay
17,3,5,-50,0,mar,Ambon Bay
17,3,5,0,0,mar,Ambon Bay
18,3,6,-50,0,mar,Ambon Bay
18,3,6,0,0,mar,Ambon Bay
1,1,1,-32,83.2,apr,Ambon Bay
1,1,1,0,84,apr,Ambon Bay
2,1,2,0,53.2,apr,Ambon Bay
2,1,2,-23,422.8,apr,Ambon Bay
3,1,3,0,12.4,apr,Ambon Bay
3,1,3,-14,25.6,apr,Ambon Bay
4,1,4,0,16.4,apr,Ambon Bay
