No.,Kode Sample,Berat Total,> 4mm,2 mm,1.0 mm,500 _m,250 _m,125 _m,63 _m,< 63 _m,total
1,ST 10,563.07,2.250164278,8.679205072,27.95567159,14.60919601,32.89466674,11.57937734,1.704938995,0.326779974,100
2,ST 5,64.53,0,0,0,3.486750349,5.516813885,2.494963583,71.05222377,17.44924841,100
3,ST 6 ,482.66,0.416442216,1.390212572,9.638254672,28.2144781,36.25119131,21.91190486,1.611900717,0.565615547,100
4,B3,173.61,2.384655262,1.290248258,1.85473187,3.623063188,1.860491907,10.2816658,74.05679396,4.648349749,100
5,ST 9,136.42,0.879636417,0.945609148,1.510042516,7.572203489,52.42633045,26.76293799,5.988857939,3.914382055,100
6,B2,105.556,0,1.364204782,1.193679185,3.160407746,5.58945015,44.15665618,38.92720452,5.608397438,100
7,ST 7,24.35,0,0,7.145790554,10.18480493,14.70225873,25.70841889,27.51540041,14.74332649,100
8,ST 1,32.19,0,0,3.883193538,7.983845915,11.86703945,21.59055607,46.41192917,8.26343585,100
9,ST 16,86.06,1.371136416,1.847548222,3.218684639,19.71880084,26.79525912,23.13502208,12.28212875,11.63141994,100
10,ST 11,23.46,4.94458653,0,0,21.09974425,28.85763001,15.3026428,8.567774936,21.22762148,100
11,ST 2,168.76,7.774354112,2.992415264,1.374733349,3.91680493,26.14363593,39.50580706,9.960891206,8.331358142,100
