st,x,y,z,tss,Kedalaman,Berat Kering Kosong (g),Berat Kering Kosong (mg),Vol air (ml),Berat Kering Isi (g),Berat Kering Isi (mg),Berat Suspensi (mg/l),,,,No. Sta,No. Filter,No. Botol Sample
1,,,-25,38.8,25,0.0769,76.9,250,0.087,87,40.4,,,,8,36.3,38
2,,,-75,39.6,75,0.0768,76.8,250,0.0888,88.8,48,,,,,6.3,49
3,,,-150,39.6,150,0.0762,76.2,250,0.0922,92.2,64,,,,,16.2,37
4,,,-250,39.6,250,0.0745,74.5,250,0.0857,85.7,44.8,,,,,38.3,52
5,,,-500,40,500,0.0765,76.5,250,0.0916,91.6,60.4,,,,,11.2,72
6,,,-1000,40.4,1000,0.0762,76.2,250,0.0906,90.6,57.6,,,,,5.2,28
7,,,-10,40.8,10,0.0764,76.4,250,0.0868,86.8,41.6,,,,2,11.3,9
8,,,-25,40.8,25,0.0747,74.7,250,0.0846,84.6,39.6,,,,,27.3,86
9,,,-50,40.8,50,0.0769,76.9,250,0.0881,88.1,44.8,,,,,15.3,89
10,,,-75,41.6,75,0.077,77,250,0.0877,87.7,42.8,,,,,4.3,22
11,,,-150,41.6,150,0.0769,76.9,250,0.0882,88.2,45.2,,,,,9.3,61
12,,,-250,42,250,0.0767,76.7,250,0.094,94,69.2,,,,,6.2,78
13,,,-25,42,25,0.0768,76.8,250,0.0905,90.5,54.8,,,,4,8.2,96
14,,,-75,42.4,75,0.0759,75.9,250,0.0943,94.3,73.6,,,,,18,7
15,,,-150,42.8,150,0.0761,76.1,250,0.0875,87.5,45.6,,,,,2.2,51
16,,,-250,42.8,250,0.0763,76.3,250,0.0905,90.5,56.8,,,,,4.2,109
17,,,-500,42.8,500,0.0772,77.2,250,0.0937,93.7,66,,,,,15.2,108
18,,,-750,43.2,750,0.0752,75.2,250,0.0897,89.7,58,,,,,1.2,26
19,,,-25,43.2,25,0.0761,76.1,250,0.0867,86.7,42.4,,,,1,22.3,62
20,,,-50,43.6,50,0.0735,73.5,250,0.0837,83.7,40.8,,,,,29.3,41
21,,,-75,44,75,0.077,77,250,0.0943,94.3,69.2,,,,,3.2,102
22,,,-150,44,150,0.0752,75.2,250,0.0864,86.4,44.8,,,,,30.3,69
23,,,-250,44,250,0.0744,74.4,250,0.0846,84.6,40.8,,,,,13.2,85
24,,,-500,44,500,0.0746,74.6,250,0.0845,84.5,39.6,,,,,34.3,107
25,,,-10,44.4,10,0.0766,76.6,250,0.0875,87.5,43.6,,,,B2,1.3,15/chm
26,,,-20,44.8,20,0.0761,76.1,250,0.0921,92.1,64,,,,,20.3,12/chm
27,,,-37,44.8,37,0.0768,76.8,250,0.088,88,44.8,,,,,8.3,13/chm
